Я буду студентом?;Will I be a student?;студент;student
Ты будешь студентом?;Will you be a student?;студент;student
Мы будем студентами?;Will we be a student?;студент;student
Они будут студентами?;Will they be a student?;студент;student
Он будет студентом?;Will he be a student?;студент;student
Она будет студенткой?;Will she be a student?;студент;student
Я буду студентом;I will be a student;студент;student
Ты будешь студентом;You will be a student;студент;student
Мы будем студентами;We will be a students;студент;student
Они будут студентами;They will be a students;студент;student
Он будет студентом;He will be a student;студент;student
Она будет студенткой;She will be a student;студент;student
Я не буду студентом;I will not be a student;студент;student
Ты не будешь студентом;You will not be a student;студент;student
Мы не будем студентами;We will not be a students;студент;student
Они не будут студентами;They will not be a students;студент;student
Он не будет студентом;He will not be a student;студент;student
Она не будет студенткой;She will not be a student;студент;student
Я студент?;Am I a student?;студент;student
Он студент?;Is he a student?;студент;student
Она студент?;Is she a student?;студент;student
Погода хорошая?;Is the weather good?;студент;student
Ты студент?;Are you a student?;студент;student
Мы студенты?;Are we a students?;студент;student
Они студенты?;Are they a students?;студент;student
Я студент;I am a student;студент;student
Он студент;He is a student;студент;student
Она студентка;She is a student;студент;student
Погода хорошая;The weather is good;студент;student
Ты студент;You are a student;студент;student
Мы студенты;We are a students;студент;student
Они студенты;They are a students;студент;student
Я не студент;I am not a student;студент;student
Он не студент;He is not a student;студент;student
Она не студент;She is not a student;студент;student
Погода не хорошая;The weather is not good;студент;student
Ты не студент;You are not a student;студент;student
Мы не студенты;We are not a students;студент;student
Они не студенты;They are not a students;студент;student
Я был студентом?;Was I a student?;студент;student
Он был студентом?;Was he a student?;студент;student
Она была студенткой?;Was she a student?;студент;student
Погода была хорошая?;Was the weather good?;студент;student
Ты был студентом?;Were you a student?;студент;student
Мы были студентами?;Were we a students?;студент;student
Они были студентами?;Were they a students?;студент;student
Я был студентом;I was a student;студент;student
Он был студентом;He was a student;студент;student
Она была студенткой;She was a student;студент;student
Погода была хорошая;The weather was good;студент;student
Ты был студентом;You were a student;студент;student
Мы были студентами;We were a students;студент;student
Они были студентами;They were a students;студент;student
Я не был студентом;I was not a student;студент;student
Он не был студентом;He was not a student;студент;student
Она не была студенткой;She was not a student;студент;student
